Character_name;Freebase_character_ID;Actor_gender;Wikipedia_movie_ID;Coref_count;Main_actor;Adjectives;Verbs;Attributes
Stephen;/m/0h2lypq;M;5068093;5;4;[];['urge', 'proceed', 'drive'];[]
Izzy;/m/0h5t2sp;M;5068093;1;5;[];[];[]
Malcolm;;M;5068537;10;0;[];['want', 'bring', 'get', 'spoil'];[]
Steve;;M;5068537;7;1;[];['want', 'claim', 'begin', 'agree', 'propose', 'have', 'decide'];[]
Actress Anita;/m/0h5m0ng;F;5068537;4;2;[];['agree'];[]
Ekberg;;F;5068537;1;3;[];[];[]
Wiley;;M;5068537;1;4;[];['obtain'];['gambler']
dancer;;F;5068537;1;5;[];['aspire', 'have'];[]
dog;;M;5068537;1;6;[];[];[]
Grim;/m/05ncrf9;M;5071341;17;0;[];['den', 'den', 'explain', 'den', 'go', 'den', 'watch', 'open', 'slip', 'knock', 'den', 'infuriate', 'den', 'chase'];['nephew', 'protest']
Buddy;/m/066npvl;M;5071341;15;1;[];['play', 'manage', 'have', 'manage', 'dig'];[]
Livingston;;M;5071341;13;2;[];['play', 'want', 'offer', 'lose'];['trap']
Molly;/m/066nq63;F;5071341;9;3;[];['try'];[]
Niggles;;F;5071341;6;4;[];['tell', 'wake'];[]
Budderball;/m/066nxxz;M;5071341;5;5;[];['climb', 'tumble', 'fall', 'fall', 'decide'];[]
Noah Framm;/m/066nq9n;M;5071341;4;6;[];['leave', 'collect', 'come'];[]
babysitter;;F;5071341;4;7;[];['find'];['pup']
Billy;;M;5071341;3;8;[];['lock'];[]
Bartleby;;M;5071341;3;9;[];['want', 'come', 'put', 'catch', 'need'];['father', 'father']
Buddha;/m/066nxxg;M;5071341;2;10;[];['notice'];[]
Sniffer;/m/0h2lvrt;M;5071341;1;11;[];['explain'];[]
front;;M;5071341;1;12;[];[];[]
B-Dawg;/m/066nxwg;M;5071341;1;13;[];['decree'];['b']
Rosebud;/m/066nxw4;F;5071341;1;14;[];[];[]
Mudbud;/m/066nxwx;M;5071341;1;15;[];[];[]
skunk;;M;5071341;1;16;[];['call'];[]
Victor;;M;5073042;22;0;[];['hit', 'roam', 'kill', 'drool', 'grab', 'impale', 'hold', 'hold'];[]
Ben;;M;5073042;19;1;[];['decide', 'pay', 'get', 'hit', 'fall', 'kill', 'go', 'find'];['board']
